stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds,STO_ask_fee%,STO_offer_strike_delta%,STO_open_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%
81.82,1.94,Mid,2017-05-01 11:30:00,80,2017-05-12 16:00:00,11,0.786760294215684,-1.43190373547254,-1.81999999999999,ClosedCalled,10,C,82.1,1.94,10,1930,2017-05-01 15:30:00,0.784077067877312,-1.64656184254235,-2.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-610.000000000001,0.02371058420924,-0.022243950134441,-0.02557856272838,-610.000000000001,-0.316062176165804
81.81,1.935,Mid,2017-05-01 13:30:00,80,2017-05-12 16:00:00,11,0.784828482848285,-1.4205395539554,-1.81,ClosedCalled,10,C,82.1,1.935,10,1925,2017-05-01 15:30:00,0.782056250692061,-1.64231812645332,-2.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-615.000000000001,0.023652365236524,-0.022124434665689,-0.02557856272838,-615.000000000001,-0.31948051948052
81.53,1.655,Mid,2017-05-04 13:30:00,80,2017-05-12 16:00:00,8,0.926154483012388,-1.41701635900895,-1.53,ClosedCalled,10,C,81.72,1.655,10,1645,2017-05-04 15:30:00,0.924001162506118,-1.58928199951052,-1.72,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-895.000000000001,0.020299276339998,-0.018766098368699,-0.021047479197259,-895.000000000001,-0.544072948328268
81.87,1.91,Mid,2017-05-05 11:30:00,80,2017-05-12 16:00:00,7,1.21647559720114,-2.27480936676613,-1.87,ClosedCalled,10,C,81.94,1.91,10,1900,2017-05-05 15:30:00,1.21543638202169,-2.35794658112207,-1.94,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-640.000000000001,0.023329668987419,-0.022841089532185,-0.023675860385648,-640.000000000001,-0.336842105263159
81.82,1.865,Mid,2017-05-05 13:30:00,80,2017-05-12 16:00:00,7,1.18854104829417,-2.16314470789537,-1.81999999999999,ClosedCalled,10,C,81.94,1.865,10,1855,2017-05-05 15:30:00,1.18680044631961,-2.30239286586003,-1.94,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-685.000000000001,0.022793937912491,-0.022243950134441,-0.023675860385648,-685.000000000001,-0.369272237196766
81.94,1.975,Mid,2017-05-05 15:30:00,80,2017-05-12 16:00:00,7,1.25679940025803,-2.43819083650057,-1.94,ClosedCalled,10,C,82.01,1.975,10,1965,2017-05-05 16:00:00,1.25572665354399,-2.52401057362343,-2.01000000000001,82.53,,,,2017-05-12 16:00:00,,,-2.53,10,-2540,-575.000000000001,0.024103002196729,-0.023675860385648,-0.024509206194367,-575.000000000001,-0.29262086513995
81.82,1.525,Mid,2017-05-01 11:30:00,80.5,2017-05-12 16:00:00,11,0.618458478700473,-0.81636519188462,-1.31999999999999,ClosedCalled,10,C,82.1,1.525,10,1515,2017-05-01 15:30:00,0.616349241501495,-0.986158786402388,-1.59999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.03,10,-2040,-525.000000000001,0.018638474700562,-0.016132974822782,-0.019488428745432,-525.000000000001,-0.346534653465347
81.81,1.5,Mid,2017-05-01 13:30:00,80.5,2017-05-12 16:00:00,11,0.608394172750608,-0.796996366303298,-1.31,ClosedCalled,10,C,82.1,1.5,10,1490,2017-05-01 15:30:00,0.606245155575241,-0.969992248920382,-1.59999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.03,10,-2040,-550.000000000001,0.018335166850018,-0.016012712382349,-0.019488428745432,-550.000000000001,-0.369127516778524
82.1,1.735,Mid,2017-05-01 15:30:00,80.5,2017-05-12 16:00:00,11,0.701223563282029,-1.12195770125124,-1.59999999999999,ClosedCalled,10,C,82.14,1.735,10,1725,2017-05-01 16:00:00,0.700882086017221,-1.14944662106824,-1.64,82.53,,,,2017-05-12 16:00:00,,,-2.03,10,-2040,-315.000000000001,0.021132764920828,-0.019488428745432,-0.019965911857804,-315.000000000001,-0.182608695652174
81.92,1.575,Mid,2017-05-02 15:30:00,80.5,2017-05-12 16:00:00,10,0.701751708984375,-0.996487426757814,-1.42,ClosedCalled,10,C,82.04,1.575,10,1565,2017-05-02 16:00:00,0.700725255972696,-1.07911689419796,-1.54000000000001,82.53,,,,2017-05-12 16:00:00,,,-2.03,10,-2040,-475.000000000001,0.01922607421875,-0.017333984375,-0.018771331058021,-475.000000000001,-0.303514376996806
